frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
47,0.089,0.354,0.696,0.0,100015,-63.90178,798.495,700.72626,106888,-39.83694,793.336,699.92383,106789,-39.71404,795.18127,723.35278,100017,-61.24214,801.99542,723.5918,105973,-64.54089,778.4975,837.02728,106901,-39.09127,783.96027,839.8349,106749,-40.83508,778.12189,864.30896,105974,-64.19109,772.1109,860.4549,100019,-47.70279,788.64746,791.82526,105972,-46.37521,779.4093,813.96698
48,0.088,0.346,0.464,0.0,100015,-63.91899,798.44757,700.79462,106888,-40.01332,793.56964,700.24225,106789,-39.84962,795.05481,723.41797,100017,-61.30616,801.93939,723.66797,105973,-64.72594,778.07959,837.02991,106901,-39.26669,783.48767,839.9447,106749,-40.92184,777.55389,864.35388,105974,-64.3594,771.77368,860.56055,100019,-47.91364,788.4856,791.93439,105972,-46.54918,779.10266,814.03937
49,0.089,0.353,0.471,0.0,100015,-64.18756,798.28369,700.94714,106888,-40.04307,793.50116,700.33942,106789,-39.91473,794.98486,723.49634,100017,-61.43656,801.78369,723.73346,105973,-64.93647,777.63336,836.94745,106901,-39.51163,783.07806,840.02698,106749,-41.20217,776.88818,864.29504,105974,-64.75501,771.3515,860.55133,100019,-48.10485,788.04102,791.84302,105972,-46.80955,778.78021,814.13269
50,0.088,0.348,0.636,0.0,100015,-64.26376,798.19659,700.9812,106888,-39.88166,793.1864,700.26208,106789,-37.80855,797.21716,724.58972,100017,-61.49496,801.63525,723.71454,105973,-65.41554,777.31488,836.98065,106901,-41.04111,783.31079,840.52936,106749,-41.79991,776.69421,864.57532,105974,-65.25179,770.84723,860.49603,100019,-48.26133,787.85956,791.89917,105972,-47.04516,778.51331,814.24194
51,0.088,0.348,0.636,0.0,100015,-64.26418,798.08813,700.9892,106888,-39.88977,793.13806,700.33221,106789,-37.87219,797.14386,724.64014,100017,-61.54782,801.56342,723.75696,105973,-66.31067,777.29053,837.21332,106901,-41.23586,783.07629,840.53961,106749,-42.20319,776.34796,864.61469,105974,-65.68199,770.448,860.42999,100019,-48.4128,787.7558,791.9458,105972,-47.28947,778.33051,814.25867
52,0.089,0.353,0.47,0.0,100015,-64.25263,797.9873,701.05896,106888,-39.88924,793.086,700.37878,106789,-37.93108,797.07343,724.66461,100017,-61.58245,801.50153,723.79535,105973,-66.52882,777.09851,837.2135,106901,-41.59082,782.98395,840.64172,106749,-43.21239,776.75562,864.90765,105974,-66.11554,770.30219,860.4693,100019,-48.7487,787.72125,792.14758,105972,-47.47529,778.20746,814.2887
53,0.088,0.348,0.465,0.0,100015,-64.25912,797.92181,700.9671,106888,-39.86455,793.03552,700.41235,106789,-37.94891,797.01654,724.67438,100017,-61.60669,801.44702,723.76465,105973,-66.69956,777.01312,837.21106,106901,-41.85894,782.82703,840.67523,106749,-43.48516,776.65063,864.90118,105974,-66.38496,770.28168,860.42749,100019,-48.8671,787.67761,792.15637,105972,-47.64224,778.13196,814.2951
54,0.088,0.346,0.471,0.0,100015,-64.24777,797.7868,700.91095,106888,-39.83611,792.95752,700.44922,106789,-37.9505,796.95789,724.6792,100017,-61.59377,801.41077,723.76172,105973,-66.84466,776.92316,837.19812,106901,-40.95778,782.276,840.29047,106749,-43.55828,776.07861,864.65845,105974,-66.58304,770.20563,860.37189,100019,-48.96068,787.63953,792.1499,105972,-47.79398,778.09631,814.28229
55,0.088,0.347,0.465,0.0,100015,-64.216,797.68555,700.83936,106888,-39.79401,792.92792,700.43207,106789,-37.95425,796.92303,724.66882,100017,-61.51998,801.45764,723.71875,105973,-65.61989,775.80322,836.40594,106901,-41.90021,782.77557,839.82941,106749,-43.78536,776.00769,864.65503,105974,-66.43365,769.8811,860.14844,100019,-49.04495,787.60602,792.14661,105972,-47.94759,778.03741,814.23676
56,0.088,0.347,0.465,0.0,100015,-64.18761,797.53589,700.73224,106888,-39.75788,792.85632,700.4151,106789,-37.95429,796.88965,724.65302,100017,-61.60324,801.34613,723.66003,105973,-65.59406,775.44586,836.17975,106901,-41.17164,781.82739,840.05951,106749,-43.9467,775.92755,864.64551,105974,-66.65566,769.76343,860.0675,100019,-49.10972,787.56549,792.12354,105972,-48.08433,777.98462,814.20477
