display_idx,frame_idx,tip_lt_z,tip_lt_residual_z,tip_lt_down_score,tip_rt_z,tip_rt_residual_z,tip_rt_down_score,tip_rb_z,tip_rb_residual_z,tip_rb_down_score,tip_lb_z,tip_lb_residual_z,tip_lb_down_score,consensus_down,consensus_down_smooth,active_points,is_click
109,109,773.35175,-0.35899752941179486,1.8447963415548672,778.84973,-0.5237834117646116,1.8176616958497025,770.77832,-0.4514110196078036,1.1589468455243206,764.39526,-0.5402112156862131,2.458711011808985,7.280115894737875,7.293198002758716,4,0
110,110,772.04901,-0.6646257254902821,3.4153413503893555,779.36432,-0.4104491372547727,1.4243629296489366,770.64825,-0.4599227450980834,1.1807997400670798,764.32782,-0.6066449803920477,2.7610768718562912,8.781580891961664,9.008247353924197,4,0
111,111,771.9314,-0.9669629019605281,4.968974652496457,779.40033,-0.4617639999999028,1.6024385585150238,770.87793,-0.5172327058821793,1.327936596242095,764.20471,-0.6731342745097209,3.0636954678194805,10.963045275073057,10.908476248059264,4,0
112,112,771.85168,-1.269928039215415,6.525834884215145,779.55365,-0.5081356078429735,1.7633598352453228,770.8092,-0.541392941176241,1.3899652735781194,764.08044,-0.725414392156722,3.301642584104485,12.980802577143074,12.714713696459793,4,0
113,113,771.78827,-1.3725377254900195,7.053119777115759,778.65515,-0.7323150980391802,2.5413197002818304,770.46326,-0.4799412549017461,1.2321950046514702,764.00488,-0.7412372941176955,3.3736587551141906,14.20029323716325,14.281970984900921,4,0
114,114,771.73779,-1.4632165490196485,7.519095022622456,778.65332,-0.9632238431372571,3.342631791834124,770.49121,-0.5370324313722676,1.3787701567939001,763.95508,-0.7523682745098768,3.424320169145963,15.664817140396442,14.84808339464177,4,1
115,115,771.43964,-1.3394702745096083,6.88319461720405,778.28735,-1.0798078431371323,3.7472079322559737,770.79218,-0.362054941176325,0.9295351990905221,764.07898,-0.6853298039217179,3.119202057815077,14.679139806365622,14.386045564318861,4,0
116,116,771.3902,-1.196775647058871,6.149923479901327,778.26685,-0.9985225490195262,3.46512728167621,770.45703,-0.1713869019606591,0.44001652765159505,764.00421,-0.6062133725490639,2.7591124569653873,12.814179746194519,12.73558743190982,4,0
117,117,772.37628,-1.0263042745096982,5.273914764928207,778.99518,-0.9001211372549278,3.1236493483077807,771.55121,0.018613529411936725,0.0,764.2771,-0.5088290588236077,2.3158786299333305,10.713442743169319,10.688278857066347,3,0
118,118,772.4021,-0.7998647450979206,4.110300028841591,779.0127,-0.7025421568627053,2.438000019792245,771.28571,0.14823741176485328,0.0,764.27142,-0.4369906274509958,1.9889140332013697,8.537214081835206,8.734746328582435,3,0
119,119,772.45514,-0.5523733333333212,2.8385050620693724,779.05688,-0.6273750196078254,2.1771509300614817,771.31317,0.1448498431373082,0.0,764.29803,-0.4257879215685989,1.9379261686119276,6.953582160742782,7.395409286627133,3,0
120,120,772.47247,-0.47960909803919094,2.464588296439846,779.22449,-0.5685379999999896,1.9729715031513708,771.30872,-0.07275784313719669,0.18679755063194683,764.28638,-0.4550423137254711,2.07107426708025,6.695431617303413,6.7098331020001485,3,0
121,121,772.53021,-0.4037444705880944,2.0747394097232243,778.59412,-0.4743312549019265,1.646050130291286,770.39355,-0.23370568627444754,0.6000129729313883,763.93445,-0.47451082352949925,2.1596830150083557,6.480485527954254,6.5655637744651845,4,0
122,122,772.59491,-0.3138585882351208,1.6128388858007086,779.18542,-0.4864879607844159,1.6882369925209781,770.41785,-0.3750139607842584,0.9628060193481909,763.99658,-0.4958689803920606,2.2568922804680094,6.520774178137887,6.829075709750651,4,0
