frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
50,0.065,0.298,0.409,0.0,103780,-94.91305,848.5351,645.66034,103782,-99.17954,833.14246,629.01013,103785,-75.4395,826.85175,630.04108,103838,-72.18805,842.54224,647.93646,103816,-78.9173,854.45215,783.02783,103805,-83.90543,863.9552,760.85931,103804,-58.85519,866.79645,757.76514,103814,-54.55518,856.80408,780.66046,103778,-76.77529,876.34045,710.75446,103807,-73.08442,868.20105,734.05914
51,0.065,0.302,0.431,0.0,103780,-94.84482,848.52808,645.70221,103782,-99.13553,833.18286,629.03571,103785,-75.36757,826.83423,629.9964,103838,-70.59009,843.42865,647.31854,103816,-78.8824,857.12885,783.67163,103805,-83.93823,865.84851,761.22064,103804,-59.02174,868.54272,758.17816,103814,-54.29834,859.15753,781.26123,103778,-76.43651,876.01746,710.64569,103807,-72.81931,868.52808,734.18195
52,0.064,0.309,0.705,0.0,103780,-94.76044,848.50793,645.73883,103782,-99.09331,833.24615,629.13782,103785,-75.31939,826.80103,630.00165,103838,-70.50305,843.39203,647.32599,103816,-78.7192,859.93292,784.39984,103805,-83.78902,867.7002,761.54297,103804,-58.58036,870.06995,758.24323,103814,-54.30606,861.95258,781.77844,103778,-76.22789,875.84406,710.72742,103807,-72.43824,868.98572,734.27136
53,0.064,0.309,0.705,0.0,103780,-94.40907,848.82239,645.69043,103782,-99.10984,833.1532,629.15161,103785,-74.56483,827.38611,630.15546,103838,-70.45516,843.30786,647.35333,103816,-78.65971,862.52545,784.73737,103805,-83.80946,869.59839,761.76904,103804,-58.37696,871.70471,758.40039,103814,-54.23248,864.68079,782.08234,103778,-75.93517,875.59631,710.77271,103807,-72.20023,869.3847,734.32452
54,0.064,0.312,0.453,0.0,103780,-94.32906,848.74066,645.69604,103782,-98.93983,833.22021,629.18835,103785,-74.46909,827.33325,630.14526,103838,-70.90905,842.8252,647.21918,103816,-78.68107,864.81024,784.94153,103805,-83.14838,870.24005,761.30975,103804,-58.25491,873.37744,758.54926,103814,-54.27323,866.43481,782.14227,103778,-75.58848,875.01276,710.64911,103807,-72.02304,869.72156,734.37714
55,0.064,0.319,0.459,0.0,103780,-94.84186,848.30243,645.1377,103782,-98.75331,833.19122,629.13367,103785,-75.0648,826.61279,629.97937,103838,-70.4997,842.97211,647.26373,103816,-78.47916,866.51093,785.05878,103805,-83.45831,871.72906,761.58923,103804,-57.20045,875.0752,759.10272,103814,-54.11581,868.42218,782.27191,103778,-75.69317,874.95898,710.74786,103807,-71.88522,870.00635,734.36859
56,0.064,0.323,0.666,0.0,103780,-94.78959,848.23035,645.15155,103782,-98.88956,833.05164,629.22614,103785,-75.00288,826.57599,630.00293,103838,-70.55882,843.33215,647.44788,103816,-78.5663,868.12762,785.04901,103805,-83.15224,871.88989,761.01892,103804,-57.0495,875.33441,758.59961,103814,-54.22043,869.90131,782.39984,103778,-75.67165,874.80188,710.72235,103807,-71.84978,870.22552,734.34845
57,0.064,0.323,0.666,0.0,103780,-94.76193,848.17621,645.16309,103782,-98.89806,832.9707,629.23541,103785,-75.02207,826.52679,629.99805,103838,-70.6181,843.05963,647.31519,103816,-78.52248,869.51636,785.08557,103805,-83.24288,872.86151,760.97455,103804,-57.88557,875.1037,757.61401,103814,-54.1608,871.3728,782.36798,103778,-75.63239,874.75635,710.84235,103807,-71.84029,870.43622,734.34937
58,0.064,0.324,0.461,0.0,103780,-94.76917,848.12549,645.19067,103782,-99.01399,832.84387,629.26184,103785,-75.01804,826.54547,630.00537,103838,-70.68297,843.03131,647.3045,103816,-78.89594,870.97662,784.95258,103805,-83.29549,873.71948,760.94415,103804,-58.01407,875.9364,757.47827,103814,-54.43434,872.80176,782.26062,103778,-75.61028,874.59473,710.8905,103807,-71.82409,870.65173,734.32953
59,0.064,0.327,0.461,0.0,103780,-94.772,848.08575,645.23468,103782,-99.05569,832.82629,629.27264,103785,-75.04552,826.5036,629.96069,103838,-70.51299,843.31006,647.43738,103816,-78.68814,872.72888,785.07324,103805,-83.76155,874.71545,760.71997,103804,-58.23116,877.92212,757.90424,103814,-54.58593,874.35333,782.01593,103778,-75.57725,874.44849,710.8938,103807,-71.80856,870.98651,734.3623
